Departamento,Sub-Departamento,CeCo
ADMON Y FINANZAS,334008-ADMINISTRACIÓN Y FINANZAS,334008
ADMON Y FINANZAS,334202-ADMINISTRACIÓN Y FINANZAS,334202
ADMON Y FINANZAS,900000-ADMINISTRACIÓN Y FINANZAS,900000
ANALYTICS,335975-G. DE ANÁLISIS,335975
ANALYTICS,336284-CHIEF DATA AND ALGORITHM,336284
API,336282-CHIEF API OFFICER,336282
API,336291-BANKING,336291
API,337225-AGREGACION,337225
ATENCION A CLIENTES,334005-ATENCIÓN CLIENTES,334005
AUDITORIA,334006-DIRECCIÓN DE AUDITORÍA,334006
COMERCIAL,334002-CHIEF LENDER OFFICER,334002
COMERCIAL,335875-ASISTENTE AREA COMERCIAL,335875
COMERCIAL,335876-G. COMERCIAL TELECOM,335876
COMERCIAL,335880-G. COMERCIAL RETAIL,335880
COMERCIAL,335889-COMERCIAL PERSONA MORAL,335889
COMERCIAL,335899-G. COMERCIAL GOBIERNO,335899
COMERCIAL,335939-G. COMERCIAL BANCA,335939
COMERCIAL,335941-G. COMERICAL FINANCIERAS,335941
COMERCIAL,335942-COMERCIAL FNB A,335942
COMERCIAL,335943-A. COMERCIAL FNB B,335943
COMERCIAL,335944-A. COMERCIAL FNB C,335944
COMERCIAL,335946-A. COMERCIAL FNB D,335946
COMERCIAL,335948-COMERCIAL PER. MORAL A,335948
COMERCIAL,335949-A. COMERCIAL BANCA A,335949
COMERCIAL,335958-ADMINISTRADOR DE VENTAS,335958
COMERCIAL,335966-ASESOR COMERCIAL RETAIL,335966
COMERCIAL,335967-RELACIONES PUBLICAS,335967
COMERCIAL,336052-ASES COM PAQUETE,336052
COMERCIAL,336053-ASES COM PAQUETE 1,336053
COMERCIAL,336054-A COMERCIAL BANCA B,336054
COMERCIAL,336055-A. COMERCIAL BANCA C,336055
COMERCIAL,336285-PREPAGO,336285
COMERCIAL,336292-G. COMERCIAL SEGUROS,336292
COMERCIAL C.L.,335950-G. COMERCIAL LABORAL A,335950
COMERCIAL C.L.,335951-G. COMERCIAL LABORAL B,335951
COMERCIAL C.L.,335952-G. COMERCIAL LABORAL C,335952
COMERCIAL C.L.,335954-G. COMERCIAL LABORAL D,335954
COMERCIAL C.L.,335955-G. COMERCIAL LABORAL E,335955
COMERCIAL C.L.,335957-G. COMERCIAL LABORAL G,335957
COMERCIAL C.L.,335980-G. COMERCIAL LABORAL H,335980
COMERCIAL C.L.,336285-TELEMARKETING,336285
COMERCIAL C.L.,336295-TELEMARKETING,336295
CONSUMIDOR FINAL,335981-CONSUMIDOR FINAL,335981
DATOS,336056-DIRECCION DATOS,336056
DESARROLLO ORGANIZACIONAL,334204-DES. ORGANIZACIONAL,334204
DESARROLLO ORGANIZACIONAL,335983-ATRACCIÓN DE TALENTO,335983
DESARROLLO ORGANIZACIONAL,335984-SERVICIO MÉDICO,335984
DESARROLLO ORGANIZACIONAL,336041-DESARROLLO ORGANIZACIONAL,336041
DIRECCION GENERAL,100200-DIRECCIÓN GENERAL,100200
DIRECCION GENERAL,104105-DIRECCIÓN GENERAL,104105
DIRECCION GENERAL,336057-G ALIANZAS ESTRATEGICAS,336057
EXCELENCIA OPERACIONAL,335959-COORD. DE BACK OFFICE,335959
EXCELENCIA OPERACIONAL,335960-ASESOR BACK OFFICE  A,335960
EXCELENCIA OPERACIONAL,335961-ASESOR BACK OFFICE B,335961
EXCELENCIA OPERACIONAL,335962-ASESOR BACK OFFICE C,335962
EXCELENCIA OPERACIONAL,335963-ASESOR BACK OFFICE D,335963
EXCELENCIA OPERACIONAL,335972-EXCELENCIA OPERACIONAL,335972
EXCELENCIA OPERACIONAL,336044-AUDIT FIRMAS,336044
EXCELENCIA OPERACIONAL,336050-CALIDAD,336050
EXCELENCIA OPERACIONAL,336279-OPERACIONES,336279
INNOVACION,334003-DIRECCIÓN INNOVACIÓN,334003
LEGAL,334206-GERENCIA LEGAL,334206
LEGAL,335973-DIRECCION LEGAL,335973
LEGAL,336139-GERENCIA LEGAL,336139
LEGAL,336147-CONTRALORÍA,336147
MARKETING,334203-MARKETING,334203
MARKETING,335872-MARKETING,335872
PRODUCTO,335874-G DE P DE RIESGO,335874
PRODUCTO,335970-PRODUCTO,335970
PRODUCTO,335971-G. DE P. ORIGINACIÓN,335971
PRODUCTO,335976-G. DE PRODUCTO C LAB,335976
PRODUCTO,335977-C. DE PRODUCTO A,335977
PRODUCTO,335978-C. DE PRODUCTO B,335978
PRODUCTO,336148-LAB DE INVESTIGACION,336148
PRODUCTO,336283-MODELOS NO TRAD.,336283
PRODUCTO,336288-PRODUCTO CORE,336288
PRODUCTO,336289-PRODUCTO FRAUDE,336289
PROVEEDORES,334205-C. PROVEEDORES,334205
PROVEEDORES,336043-C. PROVEEDORES,336043
SEGURIDAD DE LA INFORMACION,334007-SEG. DE LA INFORMACIÓN,334007
SISTEMAS,334004-DIRECCIÓN DE SISTEMAS,334004
SISTEMAS,334207-DESARROLLO TI,334207
SISTEMAS,336280-DEVOPS,336280
SISTEMAS,336281-DESARROLLO TI,336281
SISTEMAS,336286-SOPORTE Y TELCOS,336286
SISTEMAS,336287-OPERACIÓN CORE,336287
